Date,Open,High,Low,Close,Volume,Variation
2011-01-03,22.03,22.44,22.51,21.96,22780000.00,-1.08
2011-01-04,21.95,22.04,22.08,21.54,30970000.00,-0.36
2011-01-05,22.21,21.77,22.32,21.69,24340000.00,1.18
2011-01-06,22.12,22.20,22.41,22.04,24350000.00,-0.41
2011-01-07,21.81,22.05,22.18,21.81,17470000.00,-1.40
2011-01-10,22.02,21.75,22.05,21.69,14390000.00,0.96
2011-01-11,22.16,22.12,22.36,22.09,23220000.00,0.64
2011-01-12,22.77,22.34,22.83,22.30,39250000.00,2.75
2011-01-13,22.29,22.85,22.95,22.29,31860000.00,-2.11
2011-01-14,22.48,22.25,22.61,22.24,20240000.00,0.85
2011-01-17,22.40,22.38,22.66,22.33,19310000.00,-0.36
2011-01-18,22.62,22.56,22.65,22.36,22160000.00,0.98
2011-01-19,22.28,22.69,22.81,22.24,22660000.00,-1.50
2011-01-20,22.25,22.16,22.46,22.00,21510000.00,-0.13
2011-01-21,22.08,22.37,22.45,22.08,18140000.00,-0.76
2011-01-24,22.03,22.10,22.24,21.88,10780000.00,-0.23
2011-01-26,21.90,22.11,22.30,21.80,21420000.00,-0.59
2011-01-27,21.93,21.99,22.16,21.80,18570000.00,0.14
2011-01-28,21.77,22.08,22.10,21.42,28060000.00,-0.73
2011-01-31,22.11,21.92,22.24,21.76,33970000.00,1.56
2011-02-01,22.56,22.28,22.62,22.12,28820000.00,2.04
2011-02-02,22.69,22.52,22.83,22.44,33180000.00,0.58
2011-02-03,22.88,22.65,22.95,22.61,27680000.00,0.84
2011-02-04,22.54,22.88,23.03,22.49,27730000.00,-1.49
2011-02-07,22.21,22.69,22.74,22.12,23830000.00,-1.46
2011-02-08,22.00,22.06,22.31,21.89,31280000.00,-0.95
2011-02-09,21.37,21.92,22.01,21.31,32640000.00,-2.86
2011-02-10,21.44,21.38,21.82,21.35,18620000.00,0.33
2011-02-11,21.54,21.59,21.79,21.46,19520000.00,0.47
2011-02-14,21.83,21.55,21.96,21.41,18280000.00,1.35
2011-02-15,22.01,21.77,22.30,21.73,27960000.00,0.82
2011-02-16,22.29,22.20,22.40,22.09,24210000.00,1.27
2011-02-17,22.24,22.36,22.39,22.07,19160000.00,-0.22
2011-02-18,22.34,22.17,22.39,22.12,16790000.00,0.45
2011-02-21,22.36,22.42,22.56,22.24,22230000.00,0.09
2011-02-22,22.66,22.41,22.81,22.40,35470000.00,1.34
2011-02-23,23.43,22.78,23.59,22.69,62710000.00,3.40
2011-02-24,23.15,23.71,23.88,23.14,50480000.00,-1.20
2011-02-25,23.34,23.19,23.46,22.97,27230000.00,0.82
2011-02-28,23.32,23.21,23.41,22.98,28920000.00,-0.09
2011-03-01,23.09,23.26,23.50,23.01,26570000.00,-0.99
2011-03-02,23.59,23.10,23.63,22.99,25840000.00,2.17
2011-03-03,23.63,23.60,23.64,23.34,17330000.00,0.17
2011-03-04,23.73,23.67,23.81,23.44,21050000.00,0.42
2011-03-09,23.30,23.53,23.56,23.27,15900000.00,-1.81
2011-03-10,22.95,23.18,23.20,22.75,22770000.00,-1.50
2011-03-11,22.99,22.81,23.18,22.58,20830000.00,0.17
2011-03-14,23.08,22.85,23.19,22.74,13580000.00,0.39
2011-03-15,22.88,22.40,22.99,22.40,22540000.00,-0.87
2011-03-16,22.67,22.98,23.19,22.53,33700000.00,-0.92
2011-03-17,22.92,22.96,23.01,22.75,16530000.00,1.10
2011-03-18,22.77,23.01,23.03,22.70,21620000.00,-0.65
2011-03-21,22.96,22.98,23.14,22.83,28600000.00,0.83
2011-03-22,23.26,23.03,23.43,23.01,23630000.00,1.31
2011-03-23,23.50,23.24,23.55,23.18,20410000.00,1.03
2011-03-24,23.34,23.53,23.63,23.28,12260000.00,-0.68
2011-03-25,23.52,23.40,23.64,23.33,16340000.00,0.77
2011-03-28,23.28,23.45,23.65,23.28,11450000.00,-1.02
2011-03-29,23.28,23.32,23.48,23.20,12050000.00,0.00
2011-03-30,23.29,23.42,23.44,23.24,13900000.00,0.04
2011-03-31,23.41,23.33,23.52,23.30,13920000.00,0.52
2011-04-01,23.60,23.50,23.60,23.42,15170000.00,0.81
2011-04-04,23.49,23.65,23.69,23.45,13540000.00,-0.47
2011-04-05,23.29,23.44,23.46,23.19,19750000.00,-0.85
2011-04-06,23.13,23.28,23.33,23.05,14670000.00,-0.69
2011-04-07,22.99,23.10,23.19,22.76,21890000.00,-0.61
2011-04-08,23.00,23.03,23.10,22.81,17530000.00,0.04
2011-04-11,22.57,22.98,22.98,22.51,19360000.00,-1.87
2011-04-12,21.88,22.43,22.50,21.81,33570000.00,-3.06
2011-04-13,21.47,22.00,22.00,21.39,29980000.00,-1.87
2011-04-14,21.33,21.43,21.70,21.29,27520000.00,-0.65
2011-04-15,21.78,21.41,21.81,21.39,27290000.00,2.11
2011-04-18,20.93,21.60,21.60,20.92,35950000.00,-3.90
2011-04-19,21.13,21.14,21.36,20.99,19360000.00,0.96
2011-04-20,21.59,21.52,21.59,21.27,23600000.00,2.18
2011-04-25,21.50,21.60,21.70,21.36,12890000.00,-0.42
2011-04-26,21.51,21.51,21.62,21.31,12100000.00,0.05
2011-04-27,21.13,21.53,21.53,21.09,16850000.00,-1.77
2011-04-28,20.90,21.06,21.07,20.74,22520000.00,-1.09
