Symbol,Date,Open,High,Low,Close,Volume,Currency
Crude Oil WTI,2011-01-03,91.31,92.58,91.21,91.55,225189,USD
Crude Oil WTI,2011-01-04,91.5,92.07,88.36,89.38,415521,USD
Crude Oil WTI,2011-01-05,89.29,90.84,88.1,90.3,416908,USD
Crude Oil WTI,2011-01-06,90.47,90.71,87.85,88.38,440456,USD
Crude Oil WTI,2011-01-07,88.18,89.48,87.25,88.03,444813,USD
Crude Oil WTI,2011-01-10,89.0,89.98,88.13,89.25,430277,USD
Crude Oil WTI,2011-01-11,89.31,91.39,88.93,91.11,429761,USD
Crude Oil WTI,2011-01-12,91.18,92.39,90.79,91.86,382686,USD
Crude Oil WTI,2011-01-13,92.0,92.37,90.75,91.4,358898,USD
Crude Oil WTI,2011-01-14,90.99,91.69,90.1,91.54,313331,USD
Crude Oil WTI,2011-01-18,91.51,91.9,90.55,91.38,211930,USD
Crude Oil WTI,2011-01-19,91.34,92.1,90.47,90.86,109525,USD
Crude Oil WTI,2011-01-20,90.7,90.86,88.0,88.86,25963,USD
Crude Oil WTI,2011-01-21,89.45,90.22,88.87,89.11,287810,USD
Crude Oil WTI,2011-01-24,89.26,89.63,87.27,87.87,356085,USD
Crude Oil WTI,2011-01-25,87.7,87.85,86.12,86.19,338646,USD
Crude Oil WTI,2011-01-26,86.23,87.79,86.03,87.33,347753,USD
Crude Oil WTI,2011-01-27,87.55,87.66,85.21,85.64,369379,USD
Crude Oil WTI,2011-01-28,85.28,89.73,85.11,89.34,584789,USD
Crude Oil WTI,2011-01-31,89.97,92.84,88.4,92.19,436801,USD
Crude Oil WTI,2011-02-01,92.2,92.45,90.33,90.77,392882,USD
Crude Oil WTI,2011-02-02,90.51,91.78,90.1,90.86,312107,USD
Crude Oil WTI,2011-02-03,90.93,92.05,90.0,90.54,290494,USD
Crude Oil WTI,2011-02-04,90.63,91.67,88.45,89.03,359925,USD
Crude Oil WTI,2011-02-07,89.06,89.54,87.18,87.48,324984,USD
Crude Oil WTI,2011-02-08,87.41,88.11,85.88,86.94,414877,USD
Crude Oil WTI,2011-02-09,87.35,87.95,86.36,86.71,367209,USD
Crude Oil WTI,2011-02-10,86.93,87.9,85.96,86.73,419188,USD
Crude Oil WTI,2011-02-11,87.7,87.77,85.1,85.58,383391,USD
Crude Oil WTI,2011-02-14,85.5,86.52,84.58,84.81,319329,USD
Crude Oil WTI,2011-02-15,84.84,85.97,83.85,84.32,284165,USD
Crude Oil WTI,2011-02-16,84.44,85.95,84.12,84.99,297660,USD
Crude Oil WTI,2011-02-17,85.25,86.63,84.38,86.36,176128,USD
Crude Oil WTI,2011-02-18,86.4,87.88,85.65,86.2,155296,USD
Crude Oil WTI,2011-02-22,86.33,94.49,86.25,93.57,37925,USD
Crude Oil WTI,2011-02-23,95.68,100.0,95.14,98.1,489667,USD
Crude Oil WTI,2011-02-24,98.97,103.41,95.62,97.28,507456,USD
Crude Oil WTI,2011-02-25,96.63,99.2,96.17,97.88,307903,USD
Crude Oil WTI,2011-02-28,98.5,99.96,96.71,96.97,262001,USD
Crude Oil WTI,2011-03-01,96.97,100.69,96.37,99.63,322429,USD
Crude Oil WTI,2011-03-02,100.48,102.5,99.21,102.23,446378,USD
Crude Oil WTI,2011-03-03,102.39,102.94,100.15,101.91,382555,USD
Crude Oil WTI,2011-03-04,101.7,105.17,101.54,104.42,369148,USD
Crude Oil WTI,2011-03-07,104.65,106.95,104.25,105.44,404435,USD
Crude Oil WTI,2011-03-08,104.85,105.79,103.33,105.02,420036,USD
Crude Oil WTI,2011-03-09,104.96,105.92,103.9,104.38,353948,USD
Crude Oil WTI,2011-03-10,104.45,105.06,100.62,102.7,432988,USD
Crude Oil WTI,2011-03-11,102.64,103.0,99.01,101.16,342531,USD
Crude Oil WTI,2011-03-14,100.31,101.89,98.47,101.19,289434,USD
Crude Oil WTI,2011-03-15,101.86,101.87,96.71,97.18,388736,USD
Crude Oil WTI,2011-03-16,97.4,99.6,96.22,97.98,357944,USD
Crude Oil WTI,2011-03-17,98.1,101.99,96.6,101.42,261573,USD
Crude Oil WTI,2011-03-18,101.78,103.66,100.14,101.07,217675,USD
Crude Oil WTI,2011-03-21,102.12,103.35,101.66,102.33,103960,USD
Crude Oil WTI,2011-03-22,102.1,104.54,101.43,104.0,31920,USD
Crude Oil WTI,2011-03-23,104.85,106.34,104.38,105.75,254571,USD
Crude Oil WTI,2011-03-24,105.52,106.69,104.76,105.6,258015,USD
Crude Oil WTI,2011-03-25,105.46,105.95,104.5,105.4,235658,USD
Crude Oil WTI,2011-03-28,105.43,105.76,103.6,103.98,223079,USD
Crude Oil WTI,2011-03-29,103.94,105.0,102.7,104.79,246824,USD
Crude Oil WTI,2011-03-30,104.45,105.15,103.44,104.27,256895,USD
Crude Oil WTI,2011-03-31,104.31,106.83,104.12,106.72,270630,USD
Crude Oil WTI,2011-04-01,106.62,108.47,106.3,107.94,283710,USD
Crude Oil WTI,2011-04-04,108.29,108.78,107.58,108.47,228494,USD
Crude Oil WTI,2011-04-05,108.2,108.6,107.5,108.34,249358,USD
Crude Oil WTI,2011-04-06,107.99,109.15,107.72,108.83,255598,USD
Crude Oil WTI,2011-04-07,108.67,110.44,108.23,110.3,334906,USD
Crude Oil WTI,2011-04-08,110.32,113.21,110.11,112.79,319475,USD
Crude Oil WTI,2011-04-11,113.28,113.46,108.68,109.92,364348,USD
Crude Oil WTI,2011-04-12,108.97,110.24,105.47,106.25,555625,USD
Crude Oil WTI,2011-04-13,106.02,107.43,105.31,107.11,456863,USD
Crude Oil WTI,2011-04-14,107.32,108.55,105.77,108.11,352072,USD
Crude Oil WTI,2011-04-15,108.45,110.1,107.21,109.66,224394,USD
Crude Oil WTI,2011-04-18,109.43,109.44,106.54,107.12,138178,USD
Crude Oil WTI,2011-04-19,107.52,108.45,105.5,108.15,37088,USD
Crude Oil WTI,2011-04-20,108.45,111.66,107.96,111.45,291546,USD
Crude Oil WTI,2011-04-21,111.37,112.48,111.0,112.29,240462,USD
Crude Oil WTI,2011-04-25,112.34,113.48,111.08,112.28,209683,USD
Crude Oil WTI,2011-04-26,112.15,112.64,111.12,112.21,234441,USD
Crude Oil WTI,2011-04-27,111.89,113.4,110.71,112.76,338697,USD
Crude Oil WTI,2011-04-28,113.13,113.97,111.69,112.86,301604,USD
Crude Oil WTI,2011-04-29,112.82,114.18,112.25,113.93,201831,USD
Crude Oil WTI,2011-05-02,113.89,114.83,110.82,113.52,310994,USD
Crude Oil WTI,2011-05-03,112.98,113.22,110.3,111.05,300333,USD
Crude Oil WTI,2011-05-04,110.68,111.22,108.48,109.24,333018,USD
Crude Oil WTI,2011-05-05,108.78,109.38,98.25,99.8,670082,USD
Crude Oil WTI,2011-05-06,99.76,102.38,94.63,97.18,606528,USD
Crude Oil WTI,2011-05-09,98.11,103.4,97.42,102.55,469290,USD
Crude Oil WTI,2011-05-10,102.44,103.95,100.12,103.88,439607,USD
Crude Oil WTI,2011-05-11,103.69,104.6,97.5,98.21,524761,USD
Crude Oil WTI,2011-05-12,98.59,100.49,95.25,98.97,522503,USD
Crude Oil WTI,2011-05-13,98.81,100.7,97.09,99.65,367717,USD
Crude Oil WTI,2011-05-16,99.36,99.65,96.83,97.37,335318,USD
Crude Oil WTI,2011-05-17,96.98,97.81,95.02,96.91,399128,USD
Crude Oil WTI,2011-05-18,97.57,100.99,97.46,100.1,285299,USD
Crude Oil WTI,2011-05-19,99.76,100.79,98.16,98.44,142668,USD
Crude Oil WTI,2011-05-20,98.6,99.9,95.99,99.49,33927,USD
Crude Oil WTI,2011-05-23,99.68,100.04,96.37,97.7,296828,USD
Crude Oil WTI,2011-05-24,97.54,100.09,96.61,99.59,339530,USD
Crude Oil WTI,2011-05-25,99.27,101.63,98.2,101.32,354880,USD
Crude Oil WTI,2011-05-26,101.24,101.9,99.61,100.23,332135,USD
Crude Oil WTI,2011-05-27,100.16,101.24,100.04,100.59,212254,USD
Crude Oil WTI,2011-05-31,100.69,103.39,99.6,102.7,319037,USD
Crude Oil WTI,2011-06-01,102.68,103.31,99.63,100.29,376476,USD
Crude Oil WTI,2011-06-02,99.79,100.93,98.46,100.4,389637,USD
Crude Oil WTI,2011-06-03,100.87,100.87,98.12,100.22,351309,USD
Crude Oil WTI,2011-06-06,100.42,100.68,98.55,99.01,289670,USD
Crude Oil WTI,2011-06-07,98.82,99.75,97.74,99.09,415373,USD
Crude Oil WTI,2011-06-08,99.58,101.89,98.02,100.74,484275,USD
Crude Oil WTI,2011-06-09,100.83,102.44,100.74,101.93,345542,USD
Crude Oil WTI,2011-06-10,101.84,102.15,98.6,99.29,379238,USD
Crude Oil WTI,2011-06-13,98.77,99.32,96.13,97.3,381993,USD
Crude Oil WTI,2011-06-14,97.09,99.64,96.51,99.37,347721,USD
Crude Oil WTI,2011-06-15,99.68,99.95,94.01,94.81,508717,USD
Crude Oil WTI,2011-06-16,95.29,95.75,94.29,94.95,336011,USD
Crude Oil WTI,2011-06-17,95.1,95.4,91.84,93.01,245013,USD
Crude Oil WTI,2011-06-20,92.8,93.49,91.14,93.26,136837,USD
Crude Oil WTI,2011-06-21,93.49,94.74,92.5,93.4,41374,USD
Crude Oil WTI,2011-06-22,93.76,95.7,93.24,95.41,296275,USD
Crude Oil WTI,2011-06-23,94.4,94.47,89.69,91.02,484057,USD
Crude Oil WTI,2011-06-24,92.29,92.34,89.82,91.16,337767,USD
Crude Oil WTI,2011-06-27,91.16,91.3,89.61,90.61,278681,USD
Crude Oil WTI,2011-06-28,90.71,93.37,90.44,92.89,279024,USD
Crude Oil WTI,2011-06-29,93.37,95.84,92.66,94.77,348790,USD
Crude Oil WTI,2011-06-30,95.08,95.82,93.88,95.42,276580,USD
Crude Oil WTI,2011-07-01,95.12,95.39,93.45,94.94,263626,USD
Crude Oil WTI,2011-07-05,94.98,97.48,94.34,96.89,275650,USD
Crude Oil WTI,2011-07-06,97.0,97.79,95.9,96.65,288321,USD
Crude Oil WTI,2011-07-07,97.04,99.42,96.99,98.67,339270,USD
Crude Oil WTI,2011-07-08,98.79,99.18,95.6,96.2,347999,USD
Crude Oil WTI,2011-07-11,96.1,96.75,94.14,95.15,311449,USD
Crude Oil WTI,2011-07-12,95.09,97.5,93.55,97.43,343493,USD
Crude Oil WTI,2011-07-13,96.72,99.21,96.53,98.05,355098,USD
